time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-02T16:01:57.900Z,-24.7991,-175.2457,10,4.9,mb,,140,5.033,0.48,us,us1000h5np,2018-10-02T16:41:06.040Z,"South of Tonga",earthquake,7.2,1.6,0.12,22,reviewed,us,us
2018-10-02T15:29:05.160Z,37.6699,37.3967,5,4.6,mb,,46,0.518,1.08,us,us1000h5mr,2018-10-10T16:51:36.040Z,"12km SE of Caglayancerit, Turkey",earthquake,4.2,1.9,0.095,33,reviewed,us,us
2018-10-02T15:15:10.890Z,-27.339,66.5091,10,4.5,mb,,81,8.078,0.45,us,us1000h9gf,2018-10-10T16:49:34.040Z,"Indian Ocean Triple Junction",earthquake,14.3,1.9,0.272,7,reviewed,us,us
2018-10-02T14:17:58.400Z,-20.6184,-177.8592,528.48,4.6,mb,,79,4.805,0.84,us,us1000h9ga,2018-10-10T14:47:35.040Z,"87km E of Ndoi Island, Fiji",earthquake,9.8,7,0.081,46,reviewed,us,us
2018-10-02T11:35:41.210Z,-17.7914,167.8412,10,4.9,mb,,71,4.338,0.87,us,us1000h5l2,2018-10-03T02:09:15.273Z,"51km W of Port-Vila, Vanuatu",earthquake,3.3,1.9,0.069,66,reviewed,us,us
2018-10-02T10:40:13.410Z,-6.5872,-80.7271,10,4.7,mb,,145,6.229,0.7,us,us1000h5kk,2018-10-02T11:03:57.040Z,"79km W of Morrope, Peru",earthquake,7.4,1.9,0.065,72,reviewed,us,us
2018-10-02T10:08:37.460Z,-17.825,167.8506,10,5.6,mww,,48,4.324,0.76,us,us1000h5k9,2018-10-03T20:57:58.040Z,"50km WSW of Port-Vila, Vanuatu",earthquake,8.2,1.9,0.073,18,reviewed,us,us
2018-10-02T07:54:36.760Z,-10.5538,120.2506,35,4.5,mb,,80,2.733,0.9,us,us1000h5j0,2018-10-02T12:56:27.040Z,"39km S of Nggongi Satu, Indonesia",earthquake,6.8,1.9,0.107,26,reviewed,us,us
2018-10-02T07:01:09.580Z,-10.4828,120.3092,35,4.8,mb,,79,2.643,0.95,us,us1000h5ih,2018-10-02T07:52:49.040Z,"32km SSE of Nggongi, Indonesia",earthquake,6.8,2,0.084,44,reviewed,us,us
2018-10-02T06:26:24.840Z,4.9031,125.4253,183.44,4.7,mb,,123,2.157,0.7,us,us1000h5ib,2018-10-02T09:41:01.040Z,"55km S of Sarangani, Philippines",earthquake,9.3,7.4,0.102,29,reviewed,us,us
2018-10-02T06:09:18.360Z,-10.5031,120.29,15.89,4.5,mb,,79,2.67,1.27,us,us1000h5i1,2018-10-02T09:46:51.040Z,"34km S of Nggongi Satu, Indonesia",earthquake,5.3,5.5,0.119,21,reviewed,us,us
2018-10-02T05:15:33.750Z,0.2915,126.2532,47.04,5.1,mb,,51,1.211,0.78,us,us1000h5hp,2018-10-02T05:30:53.040Z,"135km WSW of Kota Ternate, Indonesia",earthquake,6.8,7.5,0.087,43,reviewed,us,us
2018-10-02T04:59:26.290Z,-1.5951,120.2339,10,5,mb,,90,2.596,0.71,us,us1000h5hb,2018-10-02T05:17:07.040Z,"50km WSW of Kasiguncu, Indonesia",earthquake,6.4,1.9,0.109,27,reviewed,us,us
2018-10-02T04:49:31.470Z,-10.4747,120.1211,20.71,5.6,mww,,37,2.774,1.22,us,us1000h5h5,2018-10-03T21:02:50.040Z,"33km SSW of Nggongi Satu, Indonesia",earthquake,6.9,5,0.073,18,reviewed,us,us
